Место;Событие;Ссылка;Время
Большой театр Беларуси;Портреты. Клавдия Шульженко;https://afisha.relax.by/conserts/10363913-portrety-klavdija-shulyzhenko/minsk/;19:00
Нора;Jam Session;https://afisha.relax.by/clubs/10344700-jam-session/minsk/;22:00
Корчма Старовиленская;Живая музыка;https://afisha.relax.by/conserts/529855-zhivaja-muzyka/minsk/;20:00
Корчма Старовиленская;Живая музыка;https://afisha.relax.by/conserts/529855-zhivaja-muzyka/minsk/;20:00
Брюгге;Драгни;https://afisha.relax.by/conserts/10800833-koncert-dragni/minsk/;19:30
Белгосфилармония;Через всю войну;https://afisha.relax.by/conserts/10945613-koncert-cherez-vsyu-vojnu/minsk/;19:00
Малый зал им. Ширмы;Приношение учителю;https://afisha.relax.by/conserts/10945623-koncert-prinoshenije-uchitelyu/minsk/;19:00
Брюгге;Гурт Leibonik;https://afisha.relax.by/conserts/10620125-kancert-gurta-leibonik/minsk/;19:00
Корчма Старовиленская;Живая музыка;https://afisha.relax.by/conserts/529855-zhivaja-muzyka/minsk/;20:00
Корчма Старовиленская;Живая музыка;https://afisha.relax.by/conserts/529855-zhivaja-muzyka/minsk/;20:00
КЗ Минск (большой зал);Шоу «Иллюзионисты будущего» — ПЕРЕНОС;https://afisha.relax.by/conserts/10936993-shou-illyuzionisty-budushhego/minsk/;11:0015:3018:00
Белгосфилармония;Камерный оркестр Прелюдия;https://afisha.relax.by/conserts/10928963-koncert-kamernogo-orkestra-prelyudija/minsk/;19:00
Малый зал им. Ширмы;Ансамбль цимбалистов Золотая струна;https://afisha.relax.by/conserts/10336026-ansambly-cimbalistov-zolotaja-struna/minsk/;19:00
Онлайн;Star Flowers;https://afisha.relax.by/conserts/10937343-mezhdunarodnyj-konkurs-iskusstv-star-flowers/minsk/;до 15 мая
Re:Public;Группа Горшенев;https://afisha.relax.by/conserts/10945963-koncert-gruppy-gorshenev/minsk/;19:00
Корчма Старовиленская;Живая музыка;https://afisha.relax.by/conserts/529855-zhivaja-muzyka/minsk/;20:00
Корчма Старовиленская;Живая музыка;https://afisha.relax.by/conserts/529855-zhivaja-muzyka/minsk/;20:00
Брюгге;Lil Morty;https://afisha.relax.by/conserts/10933423-koncert-lil-morty/minsk/;19:00
Re:Public;Группа Bones (USA);https://afisha.relax.by/conserts/10769983-koncert-gruppy-bones/minsk/;19:00
КЗ Минск (большой зал);Alekseev;https://afisha.relax.by/conserts/10738395-koncert-pevca-alekseev/minsk/;20:00
PRIME HALL;Мот — ПЕРЕНОС;https://afisha.relax.by/conserts/10348355-mot-black-star-inc-v-blackhall-bar/minsk/;20:00
Корчма Старовиленская;Живая музыка;https://afisha.relax.by/conserts/529855-zhivaja-muzyka/minsk/;20:00
Корчма Старовиленская;Живая музыка;https://afisha.relax.by/conserts/529855-zhivaja-muzyka/minsk/;20:00
Re:Public;Niletto;https://afisha.relax.by/conserts/10932243-niletto/minsk/;20:00
Дворец Республики;Александр Розенбаум;https://afisha.relax.by/conserts/10298704-aleksandr-rozenbaum/minsk/;19:00
PRIME HALL;Shortparis;https://afisha.relax.by/conserts/10644265-vystuplenije-shortparis/minsk/;20:00
PRIME HALL;Группа In Flames — ПЕРЕНОС;https://afisha.relax.by/conserts/181040-koncert-gruppy-in-flames/minsk/;20:00
PRIME HALL;Борис Гребенщиков и группа Аквариум;https://afisha.relax.by/conserts/1742672-koncert-bg-i-gruppy-akvarium/minsk/;19:00
Корчма Старовиленская;Живая музыка;https://afisha.relax.by/conserts/529855-zhivaja-muzyka/minsk/;20:00
Корчма Старовиленская;Живая музыка;https://afisha.relax.by/conserts/529855-zhivaja-muzyka/minsk/;20:00
Falcon Club Arena;Концерт Nightwish;https://afisha.relax.by/conserts/10912963-koncert-nightwish/minsk/;19:00
Малый зал им. Ширмы;Класс народной артистки Беларуси Нины Шарубиной;https://afisha.relax.by/conserts/591003-koncert-klassa-narodnoj-artistki-belarusi-niny-sharubinoj/minsk/;19:00
Ok16;Вокальный секстет The Quintessence (Грузия) — ПЕРЕНОС;https://afisha.relax.by/conserts/10919883-koncert-vokalynogo-seksteta-the-quintessence/minsk/;20:00
Re:Public;Группа Хлеб — ПЕРЕНОС;https://afisha.relax.by/conserts/10585365-koncert-gruppy-khleb/minsk/;19:00
PRIME HALL;Группа Каста — ПЕРЕНОС;https://afisha.relax.by/conserts/10337857-kasta/minsk/;20:00
Брюгге;Заточка — ПЕРЕНОС;https://afisha.relax.by/conserts/10933433-koncert-dueta-zatochka/minsk/;19:00
Re:Public;Cradle Of Filth;https://afisha.relax.by/conserts/10942453-koncert-cradle-of-filth/minsk/;19:00
Малый зал им. Ширмы;Марина Ромейко;https://afisha.relax.by/conserts/10945693-koncert-fortepiannoj-muzyki-marina-romejko/minsk/;19:00
Re:Public;Группа Pain;https://afisha.relax.by/conserts/98436-koncert-gruppy-pain/minsk/;20:00
PRIME HALL;Группа The Hatters — ПЕРЕНОС;https://afisha.relax.by/conserts/10753045-koncert-gruppy-the-hatters/minsk/;20:00
Дворец Республики;Президентский оркестр РБ «World legends of rock» — ПЕРЕНОС;https://afisha.relax.by/conserts/10937753-koncert-prezidentskogo-orkestra-rb-world-legends-of-rock/minsk/;19:00
КЗ Минск (большой зал);Виктор Королев — ПЕРЕНОС;https://afisha.relax.by/conserts/10337299-viktor-korolev-/minsk/;19:00
Брюгге;Группа Сметана band;https://afisha.relax.by/conserts/10734895-koncert-gruppy-smetana-band/minsk/;20:00
Молодёжный театр эстрады;Сваты;https://afisha.relax.by/conserts/10912513-estradnyj-karaoke-spektakly-svaty/minsk/;19:00
Re:Public;Группа ATL — ПЕРЕНОС;https://afisha.relax.by/conserts/10459843-koncert-atl/minsk/;19:00
Брюгге;Группа Jane Air — ПЕРЕНОС;https://afisha.relax.by/conserts/10297985-koncert-gruppy-jane-air/minsk/;19:00
Молодёжный театр эстрады;Закрытие сезона;https://afisha.relax.by/conserts/10336330-gala-koncert-zakrytije-sezona/minsk/;19:00
PRIME HALL;HammAli & Navai — ПЕРЕНОС;https://afisha.relax.by/conserts/10848253-koncert-hammali-navai/minsk/;20:00
КОРПУС;Группа Комсомольск — ПЕРЕНОС;https://afisha.relax.by/conserts/10870353-koncert-gruppy-komsomolysk/minsk/;19:00
Falcon Club Arena;ЛСП — ПЕРЕНОС;https://afisha.relax.by/conserts/10341653-solynyj-koncert-lsp/minsk/;19:00
Белгосфилармония;Любимые мелодии военных лет — ПЕРЕНОС;https://afisha.relax.by/conserts/10945633-koncert-lyubimyje-melodii-vojennyh-let/minsk/;19:00
PRIME HALL;Группа Эпидемия — ПЕРЕНОС;https://afisha.relax.by/conserts/1573694-koncert-gruppy-epidemija/minsk/;19:00
Минск-Арена;Григорий Лепс;https://afisha.relax.by/conserts/10340304-grigorij-leps/minsk/;21:30
Центральный ботанический сад;Stereo Weekend с Новым Радио;https://afisha.relax.by/event/10796833-festivaly-stereo-weekend/minsk/;14:00
Центральный ботанический сад;Stereo Weekend с Новым Радио;https://afisha.relax.by/event/10796833-festivaly-stereo-weekend/minsk/;14:00
Минск;Viva Braslav Open Air 2020;https://afisha.relax.by/conserts/10349433-viwa-braslav-/minsk/;17:00
Минск;FSP Freaky Summer Party;https://afisha.relax.by/conserts/10338017-freaky-summer-party/minsk/;до 26 июля
Минск;FSP Freaky Summer Party;https://afisha.relax.by/conserts/10338017-freaky-summer-party/minsk/;до 26 июля
Липки;Рок за Бобров;https://afisha.relax.by/conserts/10335879-rok-za-bobrov/minsk/;12:00
Re:Public;Вышел покурить — ПЕРЕНОС;https://afisha.relax.by/conserts/10926013-koncert-vyshel-pokurity/minsk/;20:00
Минск-Арена;Дискотека СССР;https://afisha.relax.by/conserts/10464713-koncert-diskoteka-sssr/minsk/;18:00
PRIME HALL;Группа Княzz (Король и Шут);https://afisha.relax.by/conserts/10339118-vecher-pamyati-mihaila-gorsheneva/minsk/;19:00
Верхний город;Исторические концерты. Тимур Сергееня. Шуман — ПЕРЕНОС;https://afisha.relax.by/conserts/10947663-koncert-istoricheskije-koncerty-timur-sergejenya-shuman/minsk/;19:00
Брюгге;OG Buda — ПЕРЕНОС;https://afisha.relax.by/conserts/10934583-koncert-og-buda/minsk/;20:00
Музей архитектуры и быта;У-лётный фэст;https://afisha.relax.by/event/10820863-u-lyotnyj-fest/minsk/;12:00
Музей архитектуры и быта;У-лётный фэст;https://afisha.relax.by/event/10820863-u-lyotnyj-fest/minsk/;12:00
Hide;CMH (CrazyMegaHell) — ПЕРЕНОС;https://afisha.relax.by/conserts/10931263-koncert-cmh-crazymegahell/minsk/;20:00
Центральный ботанический сад;Городской пикник Vulitsa Ezha;https://afisha.relax.by/event/10500593-festivaly-ulichnoj-jedy-vulitsa-ezha/minsk/;12:00
Центральный ботанический сад;Городской пикник Vulitsa Ezha;https://afisha.relax.by/event/10500593-festivaly-ulichnoj-jedy-vulitsa-ezha/minsk/;12:00
PRIME HALL;Алена Швец;https://afisha.relax.by/conserts/10918893-koncert-aleny-shvec/minsk/;18:00
Re:Public;Группа Distemper — ПЕРЕНОС;https://afisha.relax.by/conserts/10177131-koncert-gruppy-distemper/minsk/;19:00
Брюгге;Группа My Own Private Alaska;https://afisha.relax.by/conserts/1069764-koncert-gruppy-my-own-private-alaska/minsk/;19:00
Брюгге;Группа Rotting Christ — ПЕРЕНОС;https://afisha.relax.by/conserts/10773943-koncert-gruppy-rotting-christ/minsk/;19:00
Re:Public;Джизус;https://afisha.relax.by/conserts/10942463-koncert-dzhizusa/minsk/;19:00
Верхний город;Музыка. Слово. Тишина — ПЕРЕНОС;https://afisha.relax.by/conserts/10937003-muzykalyno-literaturnyj-projekt-muzyka-slovo-tishina/minsk/;19:00
Верхний город;Sax Stories — ПЕРЕНОС;https://afisha.relax.by/conserts/10765523-koncert-sax-stories/minsk/;19:00
Re:Public;RAM aka Грязный Рамирес;https://afisha.relax.by/conserts/10899603-koncert-gruppy-gryaznyj-ramires-ram/minsk/;19:00
КЗ Минск (большой зал);Легендарные хиты 80-х, 90-х, 00-х в исполнении симфонического оркестра Olympia Classic — ПЕРЕНОС;https://afisha.relax.by/conserts/10934523-koncert-legendarnyje-khity-80-kh-90-kh-00-kh-v-ispolnenii-simfonicheskogo-orkestra-olympia-classic/minsk/;19:00
КЗ Минск (большой зал);Оркестр Bratislava Hot Serenaders;https://afisha.relax.by/conserts/10939873-koncert-orkestra-bratislava-hot-serenaders/minsk/;19:00
Re:Public;Lil Krystalll — ПЕРЕНОС;https://afisha.relax.by/conserts/10937593-koncert-lil-krystalll/minsk/;19:00
Верхний город;Сопрано Гоар Акопян (Армения) «...Святая к Музыке Любовь...» — ПЕРЕНОС;https://afisha.relax.by/conserts/10935843-koncert-soprano-goar-akopyan-armenija-svyataja-k-muzyke-lyubovy/minsk/;19:00
Re:Public;Группа The Exploited — ПЕРЕНОС;https://afisha.relax.by/conserts/10857593-koncert-the-exploited/minsk/;19:00
Re:Public;Группа Аффинаж — ПЕРЕНОС;https://afisha.relax.by/conserts/10500633-koncert-gruppy-affinazh/minsk/;19:00
Дворец Республики;Крис Норман — ПЕРЕНОС;https://afisha.relax.by/conserts/10340314-chris-norman/minsk/;19:00
Re:Public;Группа T-Killah;https://afisha.relax.by/conserts/10945043-koncert-gruppy-t-killah/minsk/;19:00
Re:Public;Группа Тараканы — ПЕРЕНОС;https://afisha.relax.by/conserts/145365-gruppa-tarakany-/minsk/;19:00
PRIME HALL;Группа Enter Shikari;https://afisha.relax.by/conserts/10327422-gruppa-enter-shikari/minsk/;20:00
Re:Public;Нейромонах Феофан — ПЕРЕНОС;https://afisha.relax.by/conserts/10515343-koncert-nejromonaha-feofana/minsk/;19:00
Брюгге;Jubilee — ПЕРЕНОС;https://afisha.relax.by/conserts/10929463-koncert-jubilee/minsk/;19:00
Falcon Club Arena;Maruv;https://afisha.relax.by/conserts/10888083-koncert-maruv/minsk/;20:00
Дом офицеров;Группа Viva — ПЕРЕНОС;https://afisha.relax.by/conserts/10944633-koncert-gruppy-viva/minsk/;19:00
КЗ Минск (большой зал);Игорь Маменко;https://afisha.relax.by/conserts/197092-koncert-igorya-mamenko/minsk/;19:00
Re:Public;Группа Relikt — ПЕРЕНОС;https://afisha.relax.by/conserts/10336281-gruppa-re1ikt/minsk/;19:00
Верхний город;Арт-проект Три тенора;https://afisha.relax.by/conserts/10937913-koncert-art-projekta-tri-tenora/minsk/;19:00
КЗ Минск (большой зал);Stand Up: Дмитрий Романов;https://afisha.relax.by/conserts/10864563-koncert-stand-up-dmitrij-romanov/minsk/;19:00
Дворец Республики;Алексей Чумаков — ПЕРЕНОС;https://afisha.relax.by/conserts/10942243-koncert-alekseja-chumakova/minsk/;19:00
КЗ Минск (большой зал);Александр Новиков;https://afisha.relax.by/conserts/63796-koncert-aleksandra-novikova/minsk/;19:00
Верхний город;Счастье разное нам выпадает — ПЕРЕНОС;https://afisha.relax.by/conserts/10939033-koncert-schastyje-raznoje-nam-vypadajet/minsk/;19:00
Re:Public;Группа Theodor Bastard — ПЕРЕНОС;https://afisha.relax.by/conserts/10484573-koncert-gruppy-theodor-bastard/minsk/;19:00
Верхний город;Художник, что рисует... Джаз!!! — ПЕРЕНОС;https://afisha.relax.by/conserts/10941063-koncert-khudozhnik-chto-risujet-dzhaz/minsk/;19:00
Re:Public;Gayazov$ Brother$ — ПЕРЕНОС;https://afisha.relax.by/conserts/10937463-koncert-gayazov-brother/minsk/;19:00
Брюгге;Группа Пионерлагерь Пыльная Радуга — ПЕРЕНОС;https://afisha.relax.by/conserts/10338456-gruppa-pionerlagery-pylynaja-raduga/minsk/;19:00
Дворец спорта;Диско 90х — ПЕРЕНОС;https://afisha.relax.by/conserts/10533625-diskoteka-90-kh/minsk/;19:00
Re:Public;Elvira T — ПЕРЕНОС;https://afisha.relax.by/conserts/10336988-koncert-elvira-t/minsk/;19:00
Верхний город;Мелодии еврейской души — ПЕРЕНОС;https://afisha.relax.by/conserts/10829193-koncert-melodii-jevrejskoj-dushi/minsk/;19:00
Верхний город;Эпоха босса-нова — ПЕРЕНОС;https://afisha.relax.by/conserts/10889963-epoha-bossa-nova/minsk/;19:00
Минск-Арена;Группа Руки Вверх;https://afisha.relax.by/conserts/10336117-gruppa-ruki-vverkh-v-minske/minsk/;19:00
PRIME HALL;Comedy Woman;https://afisha.relax.by/conserts/1916244-koncertnoe-shou-comedy-woman/minsk/;20:00
Белгосфилармония;Ансамбль танца Крыжачок — ПЕРЕНОС;https://afisha.relax.by/conserts/1933148-kryzhachok/minsk/;19:00
Falcon Club Arena;Zivert;https://afisha.relax.by/conserts/10833413-koncert-zivert/minsk/;19:00
Re:Public;Группа Deathstars;https://afisha.relax.by/conserts/10945983-koncert-gruppy-deathstars/minsk/;20:00
КЗ Минск (большой зал);Александр Малинин — ПЕРЕНОС;https://afisha.relax.by/conserts/10338135-aleksandr-malinin/minsk/;19:00
Белгосфилармония;Шедевры мирового органного искусства: Гюнтер Рост (Австрия) — ПЕРЕНОС;https://afisha.relax.by/conserts/10945533-koncert-shedevry-mirovogo-organnogo-iskusstva-gyunter-rost-avstrija/minsk/;19:00
Re:Public;Ghostemane — ПЕРЕНОС;https://afisha.relax.by/conserts/10904603-koncert-ghostemane/minsk/;20:00
КЗ Минск (большой зал);Группы Litesound и Цвет алоэ;https://afisha.relax.by/conserts/10944033-koncert-grupp-litesound-i-cvet-aloe/minsk/;19:00
Re:Public;Morgenshtern — ПЕРЕНОС;https://afisha.relax.by/conserts/10878483-koncert-morgenshtern/minsk/;19:00
Falcon Club Arena;Noize MC;https://afisha.relax.by/conserts/10341821-noize-mc/minsk/;20:00
Re:Public;Хелависа — ПЕРЕНОС;https://afisha.relax.by/conserts/10929473-helavisa/minsk/;19:00
Дворец спорта;Стас Михайлов;https://afisha.relax.by/conserts/10245105-stas-mihaylov/minsk/;19:00
Re:Public;Группа WildWays;https://afisha.relax.by/conserts/10599945-koncert-gruppy-wildways/minsk/;20:00
Большой театр Беларуси;Денис Мацуев — ПЕРЕНОС;https://afisha.relax.by/conserts/10347847-koncert-denisa-macujeva/minsk/;19:00
Re:Public;Эрика Лундмоен — ПЕРЕНОС;https://afisha.relax.by/conserts/10937603-koncert-eriki-lundmojen/minsk/;19:00
Re:Public;Группа Animal ДжаZ — ПЕРЕНОС;https://afisha.relax.by/conserts/10326197-gruppa-animal-dzhaz-sanktpeterburg/minsk/;20:00
Белгосфилармония;Нас объединяет хор — ПЕРЕНОС;https://afisha.relax.by/conserts/106486-koncert-nas-obedinyajet-khor/minsk/;19:00
Брюгге;Группа Таймсквер;https://afisha.relax.by/conserts/10947393-koncert-gruppy-tajmskver/minsk/;20:00
Белгосфилармония;Для всех! — ПЕРЕНОС;https://afisha.relax.by/conserts/10531905-koncert-dlya-vseh/minsk/;19:00
Дворец спорта;Группа The Neighbourhood;https://afisha.relax.by/conserts/10892403-koncert-gruppy-the-neighbourhood-/minsk/;20:00
PRIME HALL;Группа Poets of the Fall;https://afisha.relax.by/conserts/10360253-koncert-gruppy-poets-of-the-fall/minsk/;19:00
Falcon Club Arena;Леша Свик;https://afisha.relax.by/conserts/10837793-koncert-leshi-svika/minsk/;19:00
Дворец Республики;Пласидо Доминго — ПЕРЕНОС;https://afisha.relax.by/conserts/10930173-koncert-plasido-domingo/minsk/;19:00
Falcon Club Arena;Рита Дакота;https://afisha.relax.by/conserts/116928-koncert-rity-dakoty/minsk/;20:00
PRIME HALL;Мари Краймбрери;https://afisha.relax.by/conserts/10900113-bolyshoj-solynyj-koncert-mari-krajmbreri/minsk/;19:00
PRIME HALL;Народны Альбом — ПЕРЕНОС;https://afisha.relax.by/conserts/10676715-koncert-narodny-alybom/minsk/;20:00
Re:Public;Группа Pyrokinesis;https://afisha.relax.by/conserts/10945993-koncert-gruppy-pyrokinesis/minsk/;19:00
Большой театр Беларуси;Надежда Кучер, Оксана Волкова и Павел Петров — ПЕРЕНОС;https://afisha.relax.by/conserts/10939483-koncert-nadezhdy-kucher-oksany-volkovoj-i-pavla-petrova/minsk/;19:00
Брюгге;Группа Sagath — ПЕРЕНОС;https://afisha.relax.by/conserts/10935993-koncert-gruppy-sagath/minsk/;20:00
Re:Public;Группа Каспийский груз;https://afisha.relax.by/conserts/10448263-koncert-gruppy-kaspijskij-gruz/minsk/;19:00
Брюгге;Группа Haelos — ПЕРЕНОС;https://afisha.relax.by/conserts/10939773-koncert-gruppy-haelos/minsk/;19:00
PRIME HALL;Группа Heilung — ПЕРЕНОС;https://afisha.relax.by/conserts/10922773-koncert-gruppy-heilung/minsk/;20:00
Минск-Арена;Валерий Меладзе;https://afisha.relax.by/conserts/10337789-koncert-valerija-meladze/minsk/;19:00
Минск-Арена;Димаш Кудайберген — ПЕРЕНОС;https://afisha.relax.by/conserts/10924463-koncert-dimasha-kudajbergena/minsk/;19:00
